Temp_Up1_0.0-60.0C,A260nm_Up1_0.0-60.0C,Temp_Down1_60.0-0.0C,A260nm_Down1_60.0-0.0C,Temp_Up2_0.0-60.0C,A260nm_Up2_0.0-60.0C,Temp_Down2_60.0-0.0C,A260nm_Down2_60.0-0.0C
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
5.699999809,0.171131486,54.29999924,0.208417533,5.900000095,0.168783177,54.09999847,0.209477247
5.800000191,0.171139148,54.20000076,0.208426364,6,0.168816992,54,0.20945899
5.900000095,0.17119534,54.09999847,0.208433256,6.099999905,0.168796535,53.90000153,0.209440859
6,0.171148941,54,0.208333015,6.199999809,0.168846543,53.79999924,0.209404273
6.099999905,0.171180708,53.90000153,0.208362802,6.300000191,0.168852112,53.70000076,0.209373129
6.199999809,0.171224649,53.79999924,0.208371136,6.400000095,0.169002009,53.59999847,0.209348114
6.300000191,0.171210979,53.70000076,0.208331482,6.5,0.169051596,53.5,0.209432198
6.400000095,0.171221765,53.59999847,0.208289715,6.599999905,0.169072082,53.40000153,0.209431402
6.5,0.171230736,53.5,0.208330638,6.699999809,0.169191327,53.29999924,0.209381633
6.599999905,0.171305441,53.40000153,0.208374449,6.800000191,0.169269543,53.20000076,0.20933903
6.699999809,0.171312308,53.29999924,0.208367951,6.900000095,0.169348616,53.09999847,0.209339177
6.800000191,0.171305021,53.20000076,0.208308909,7,0.169418904,53,0.209313032
6.900000095,0.171316432,53.09999847,0.208249462,7.099999905,0.169456033,52.90000153,0.209287213
7,0.171320542,53,0.208222285,7.199999809,0.169505755,52.79999924,0.209221507
7.099999905,0.171335502,52.90000153,0.208189643,7.300000191,0.169548382,52.70000076,0.209216477
7.199999809,0.17134645,52.79999924,0.208178623,7.400000095,0.169625166,52.59999847,0.20923141
7.300000191,0.171381516,52.70000076,0.208159954,7.5,0.169672772,52.5,0.209178342
7.400000095,0.17143863,52.59999847,0.208131719,7.599999905,0.169785794,52.40000153,0.209112403
7.5,0.171470182,52.5,0.208084948,7.699999809,0.169774666,52.29999924,0.209117399
7.599999905,0.171454773,52.40000153,0.208027536,7.800000191,0.169766907,52.20000076,0.209123208
7.699999809,0.171442811,52.29999924,0.208027529,7.900000095,0.169810224,52.09999847,0.209100118
7.800000191,0.171473522,52.20000076,0.208036383,8,0.16987895,52,0.20903939
7.900000095,0.171499269,52.09999847,0.208065081,8.100000381,0.169893349,51.90000153,0.209043124
8,0.17150469,52,0.207994644,8.199999809,0.169933091,51.79999924,0.209054226
8.100000381,0.171523999,51.90000153,0.208002935,8.300000191,0.169976525,51.70000076,0.209086413
8.199999809,0.171523064,51.79999924,0.208046064,8.399999619,0.170047041,51.59999847,0.209065145
8.300000191,0.171582117,51.70000076,0.207972417,8.5,0.170099378,51.5,0.209017033
8.399999619,0.171606116,51.59999847,0.207977083,8.600000381,0.1701146,51.40000153,0.208982292
8.5,0.171583106,51.5,0.207995587,8.699999809,0.17016356,51.29999924,0.209046342
8.600000381,0.171599557,51.40000153,0.207985974,8.800000191,0.170190284,51.20000076,0.208997635
8.699999809,0.171634321,51.29999924,0.20797312,8.899999619,0.170168182,51.09999847,0.208910839
8.800000191,0.171693426,51.20000076,0.207857083,9,0.170235012,51,0.208933058
8.899999619,0.171663815,51.09999847,0.207815786,9.100000381,0.170299963,50.90000153,0.208910351
9,0.171692096,51,0.20784734,9.199999809,0.170265555,50.79999924,0.208849576
9.100000381,0.171699535,50.90000153,0.207891356,9.300000191,0.170251271,50.70000076,0.208857313
9.199999809,0.171722422,50.79999924,0.207872613,9.399999619,0.170244417,50.59999847,0.208808617
9.300000191,0.171717032,50.70000076,0.207858267,9.5,0.170272269,50.5,0.208804975
