Temp_Up1_0.0-60.0C,A260nm_Up1_0.0-60.0C,Temp_Down1_60.0-0.0C,A260nm_Down1_60.0-0.0C,Temp_Up2_0.0-60.0C,A260nm_Up2_0.0-60.0C,Temp_Down2_60.0-0.0C,A260nm_Down2_60.0-0.0C
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
0,0.169133477,60,0.206217198,0.200000003,0.168779774,59.79999924,0.207219234
0.100000001,0.169152297,59.90000153,0.20616792,0.300000012,0.168767648,59.70000076,0.207222092
0.200000003,0.169111551,59.79999924,0.206288419,0.400000006,0.168673676,59.59999847,0.207212993
0.300000012,0.169105917,59.70000076,0.206363517,0.5,0.168642011,59.5,0.207244344
0.400000006,0.169119446,59.59999847,0.206351713,0.600000024,0.168645582,59.40000153,0.207330979
0.5,0.16918485,59.5,0.206366351,0.699999988,0.16864572,59.29999924,0.207311368
0.600000024,0.169212419,59.40000153,0.206353018,0.800000012,0.168624114,59.20000076,0.207254987
0.699999988,0.169208523,59.29999924,0.206338867,0.899999976,0.168576664,59.09999847,0.207219759
0.800000012,0.169172396,59.20000076,0.206384523,1,0.168574566,59,0.207222873
0.899999976,0.16919112,59.09999847,0.206336128,1.100000024,0.16862823,58.90000153,0.207277037
1,0.169207123,59,0.206361574,1.200000048,0.168631679,58.79999924,0.20727013
1.100000024,0.169201851,58.90000153,0.20637625,1.299999952,0.168635923,58.70000076,0.207236184
1.200000048,0.169159264,58.79999924,0.206413907,1.399999976,0.168646571,58.59999847,0.207261847
1.299999952,0.169214911,58.70000076,0.206377578,1.5,0.168692111,58.5,0.207239982
1.399999976,0.169237557,58.59999847,0.206397738,1.600000024,0.168698136,58.40000153,0.207229208
1.5,0.169226268,58.5,0.206345325,1.700000048,0.168743945,58.29999924,0.200039207
1.600000024,0.16920249,58.40000153,0.206302662,1.799999952,0.168741547,58.20000076,0.200330577
1.700000048,0.169222681,58.29999924,0.20632958,1.899999976,0.168735754,58.09999847,0.20077433
1.799999952,0.16922387,58.20000076,0.206426953,2,0.16873456,58,0.201042768
1.899999976,0.169252919,58.09999847,0.206431835,2.099999905,0.168774801,57.90000153,0.201448014
2,0.169247498,58,0.206460029,2.200000048,0.168788982,57.79999924,0.201957584
2.099999905,0.169243888,57.90000153,0.206443961,2.299999952,0.168823161,57.70000076,0.202283024
2.200000048,0.169229489,57.79999924,0.206378936,2.400000095,0.168851689,57.59999847,0.202565098
2.299999952,0.169289205,57.70000076,0.206410414,2.5,0.168916867,57.5,0.20270839
2.400000095,0.169275021,57.59999847,0.206388148,2.599999905,0.168911404,57.40000153,0.202832055
2.5,0.169252526,57.5,0.206368099,2.700000048,0.168943122,57.29999924,0.202905501
2.599999905,0.169249765,57.40000153,0.206412401,2.799999952,0.168965194,57.20000076,0.203042312
2.700000048,0.169237864,57.29999924,0.206405824,2.900000095,0.168969101,57.09999847,0.203176549
2.799999952,0.169275732,57.20000076,0.206393888,3,0.169030123,57,0.203249539
2.900000095,0.16929567,57.09999847,0.206393101,3.099999905,0.169110643,56.90000153,0.203419738
3,0.169282852,57,0.20643053,3.200000048,0.169102601,56.79999924,0.203638412
3.099999905,0.169318418,56.90000153,0.206409612,3.299999952,0.169129412,56.70000076,0.203750595
3.200000048,0.169327476,56.79999924,0.206351905,3.400000095,0.169209899,56.59999847,0.203781537
3.299999952,0.16934343,56.70000076,0.206322383,3.5,0.169281685,56.5,0.203836075
3.400000095,0.169353108,56.59999847,0.206342708,3.599999905,0.169289427,56.40000153,0.203843061
3.5,0.169368341,56.5,0.206377426,3.700000048,0.169314028,56.29999924,0.203858939
3.599999905,0.169387422,56.40000153,0.206260076,3.799999952,0.169328077,56.20000076,0.203886512
3.700000048,0.169428139,56.29999924,0.206272068,3.900000095,0.169355315,56.09999847,0.203892631
3.799999952,0.169414111,56.20000076,0.206285038,4,0.169409725,56,0.203942816
3.900000095,0.169442737,56.09999847,0.206308118,4.099999905,0.169470486,55.90000153,0.204070718
4,0.169500564,56,0.206323381,4.199999809,0.169530886,55.79999924,0.204089587
4.099999905,0.169575531,55.90000153,0.206282472,4.300000191,0.169554664,55.70000076,0.20410774
4.199999809,0.169553831,55.79999924,0.206233524,4.400000095,0.169616666,55.59999847,0.204188571
4.300000191,0.169529366,55.70000076,0.206299895,4.5,0.169655069,55.5,0.204246995
4.400000095,0.169575268,55.59999847,0.206277038,4.599999905,0.169660125,55.40000153,0.204303783
4.5,0.169537887,55.5,0.206229103,4.699999809,0.169728935,55.29999924,0.204408826
4.599999905,0.169600681,55.40000153,0.206208189,4.800000191,0.169765718,55.20000076,0.204515523
4.699999809,0.169621463,55.29999924,0.206244205,4.900000095,0.169836878,55.09999847,0.204672374
4.800000191,0.169659633,55.20000076,0.206210436,5,0.169879734,55,0.204978288
4.900000095,0.169671493,55.09999847,0.206238882,5.099999905,0.169933162,54.90000153,0.205142195
5,0.169735585,55,0.206267617,5.199999809,0.169998277,54.79999924,0.205323859
5.099999905,0.169742175,54.90000153,0.206296659,5.300000191,0.170044821,54.70000076,0.205589561
5.199999809,0.169769958,54.79999924,0.206163175,5.400000095,0.170119223,54.59999847,0.205692936
5.300000191,0.169813992,54.70000076,0.206153713,5.5,0.170149679,54.5,0.205757902
5.400000095,0.169865506,54.59999847,0.206145719,5.599999905,0.170193518,54.40000153,0.205850153
5.5,0.169869887,54.5,0.206153592,5.699999809,0.170241595,54.29999924,0.205871684
5.599999905,0.169894748,54.40000153,0.206078884,5.800000191,0.170293892,54.20000076,0.205995435
5.699999809,0.16991666,54.29999924,0.206088898,5.900000095,0.170346307,54.09999847,0.205998975
5.800000191,0.169958024,54.20000076,0.206087079,6,0.170435066,54,0.206024624
5.900000095,0.170024242,54.09999847,0.20610788,6.099999905,0.170480566,53.90000153,0.206054604
6,0.170070369,54,0.206099733,6.199999809,0.170475411,53.79999924,0.206082167
6.099999905,0.170113326,53.90000153,0.206154643,6.300000191,0.170524594,53.70000076,0.206095072
6.199999809,0.170127549,53.79999924,0.206103794,6.400000095,0.170700005,53.59999847,0.20611812
6.300000191,0.17014721,53.70000076,0.206199098,6.5,0.170734353,53.5,0.206105826
6.400000095,0.170177113,53.59999847,0.206113432,6.599999905,0.170757483,53.40000153,0.206111835
